a,-0.09,-0.05,9.79,0.002
g,0.01,0.00,0.00,0.013
g,0.00,0.00,-0.00,0.024
rv,0.17,-0.01,-0.00,0.98,0.027
g,0.01,0.01,-0.00,0.029
rv,0.17,-0.01,-0.00,0.98,0.033
g,0.00,0.00,0.00,0.037
rv,0.17,-0.01,-0.00,0.98,0.039
a,-0.13,-0.05,9.75,0.044
g,0.00,-0.00,-0.00,0.047
m,11.94,-42.94,61.50,0.049
rv,0.17,-0.01,-0.00,0.98,0.053
g,0.01,0.00,0.00,0.056
rv,0.17,-0.01,-0.00,0.98,0.059
g,0.00,0.00,0.00,0.063
rv,0.17,-0.01,-0.00,0.98,0.066
a,-0.13,-0.05,9.75,0.070
m,11.44,-44.06,61.38,0.074
g,0.01,0.00,0.00,0.076
rv,0.17,-0.01,-0.00,0.98,0.080
g,0.01,0.00,0.00,0.085
rv,0.17,-0.01,-0.00,0.98,0.087
a,-0.13,-0.05,9.71,0.093
g,0.01,0.00,-0.00,0.096
m,11.19,-43.06,61.50,0.098
rv,0.17,-0.01,-0.00,0.98,0.102
g,0.01,0.00,0.00,0.105
rv,0.17,-0.01,-0.00,0.98,0.108
g,0.01,0.00,0.00,0.112
rv,0.17,-0.01,-0.00,0.98,0.115
a,-0.13,-0.05,9.75,0.119
m,10.88,-42.50,61.06,0.123
g,0.01,0.00,0.00,0.125
rv,0.17,-0.01,-0.00,0.98,0.128
g,0.01,0.00,0.01,0.133
rv,0.17,-0.01,-0.00,0.98,0.136
a,-0.13,-0.05,9.75,0.139
m,11.19,-43.38,61.88,0.143
g,0.01,0.00,0.01,0.146
rv,0.17,-0.01,-0.00,0.98,0.149
g,0.01,0.00,0.01,0.153
rv,0.17,-0.01,-0.00,0.98,0.156
a,-0.13,-0.05,9.75,0.160
m,11.69,-44.06,60.31,0.164
g,0.01,0.00,0.01,0.166
rv,0.17,-0.01,-0.00,0.98,0.169
g,0.00,0.00,0.00,0.174
rv,0.17,-0.01,-0.00,0.98,0.177
a,-0.13,-0.05,9.79,0.181
m,11.56,-43.00,61.12,0.184
g,0.00,0.00,0.01,0.187
rv,0.17,-0.01,-0.00,0.98,0.190
g,0.00,0.00,0.00,0.194
rv,0.17,-0.01,-0.00,0.98,0.197
a,-0.09,-0.05,9.75,0.203
g,0.00,0.00,0.00,0.205
m,11.50,-43.06,60.75,0.209
rv,0.17,-0.01,-0.00,0.98,0.213
g,0.00,-0.00,0.00,0.215
rv,0.17,-0.01,-0.00,0.98,0.218
g,0.00,0.00,-0.00,0.223
rv,0.17,-0.01,-0.00,0.98,0.226
a,-0.13,-0.05,9.75,0.229
m,11.44,-43.38,60.75,0.233
g,0.00,0.00,0.00,0.235
rv,0.17,-0.01,-0.00,0.98,0.238
g,-0.02,-0.00,0.00,0.243
rv,0.17,-0.01,-0.00,0.98,0.246
a,-0.13,-0.09,9.75,0.249
m,11.56,-43.31,62.00,0.253
g,0.01,0.00,0.00,0.256
rv,0.17,-0.01,-0.00,0.98,0.259
g,0.01,0.00,0.00,0.263
rv,0.17,-0.01,-0.00,0.98,0.266
a,-0.13,-0.05,9.79,0.270
m,11.50,-42.75,60.38,0.274
g,0.00,0.00,0.00,0.276
rv,0.17,-0.01,-0.00,0.98,0.279
g,0.01,0.00,0.00,0.284
rv,0.17,-0.01,-0.00,0.98,0.286
a,-0.13,-0.05,9.79,0.290
m,11.56,-43.38,61.56,0.294
g,0.00,-0.00,-0.00,0.297
rv,0.17,-0.01,-0.00,0.98,0.299
g,-0.00,0.00,-0.00,0.304
rv,0.17,-0.01,-0.00,0.98,0.307
a,-0.13,-0.05,9.75,0.312
m,11.19,-43.06,61.56,0.314
g,0.00,-0.00,0.00,0.317
rv,0.17,-0.01,-0.00,0.98,0.320
g,0.00,0.00,0.00,0.324
rv,0.17,-0.01,-0.00,0.98,0.327
a,-0.13,-0.05,9.75,0.333
g,0.00,0.00,0.00,0.336
m,12.06,-43.31,60.06,0.339
rv,0.17,-0.01,-0.00,0.98,0.343
g,-0.00,0.00,-0.00,0.345
rv,0.17,-0.01,-0.00,0.98,0.348
g,-0.00,0.00,0.00,0.353
rv,0.17,-0.01,-0.00,0.98,0.356
a,-0.09,-0.05,9.75,0.358
m,11.44,-44.06,61.56,0.362
g,-0.00,0.00,0.00,0.364
rv,0.17,-0.01,-0.00,0.98,0.367
g,0.00,0.00,-0.00,0.373
rv,0.17,-0.01,-0.00,0.98,0.376
a,-0.13,-0.05,9.75,0.378
m,11.50,-43.06,60.81,0.382
g,-0.00,0.00,0.00,0.385
rv,0.17,-0.01,-0.00,0.98,0.387
g,0.00,0.00,0.00,0.393
rv,0.17,-0.01,-0.00,0.98,0.397
a,-0.13,-0.05,9.79,0.400
m,11.56,-43.00,61.19,0.403
g,0.00,0.00,-0.00,0.406
rv,0.17,-0.01,-0.00,0.98,0.409
g,-0.00,-0.00,-0.00,0.413
rv,0.17,-0.01,-0.00,0.98,0.416
a,-0.13,-0.05,9.79,0.420
m,10.69,-43.81,61.44,0.423
g,-0.00,-0.00,-0.00,0.426
rv,0.17,-0.01,-0.00,0.98,0.429
g,0.00,0.00,-0.00,0.433
rv,0.17,-0.01,-0.00,0.98,0.436
a,-0.13,-0.05,9.75,0.440
m,10.69,-43.19,60.00,0.444
g,0.00,-0.00,0.00,0.446
rv,0.17,-0.01,-0.00,0.98,0.449
g,0.00,0.00,-0.00,0.454
rv,0.17,-0.01,-0.00,0.98,0.458
a,-0.09,-0.05,9.75,0.463
g,0.00,-0.00,-0.00,0.466
m,12.00,-42.94,61.69,0.468
rv,0.17,-0.01,-0.00,0.98,0.472
g,-0.00,0.00,-0.00,0.475
rv,0.17,-0.01,-0.00,0.98,0.478
g,0.00,-0.00,0.00,0.483
rv,0.17,-0.01,-0.00,0.98,0.486
a,-0.13,-0.05,9.79,0.489
m,11.81,-43.69,61.19,0.492
g,0.00,0.00,0.00,0.496
rv,0.17,-0.01,-0.00,0.98,0.499
g,-0.00,-0.00,0.00,0.503
rv,0.17,-0.01,-0.00,0.98,0.506
a,-0.13,-0.05,9.75,0.509
m,12.00,-42.69,61.25,0.513
g,0.00,-0.00,0.00,0.515
rv,0.17,-0.01,-0.00,0.98,0.519
g,0.00,-0.00,-0.00,0.523
rv,0.17,-0.01,-0.00,0.98,0.526
a,-0.09,-0.05,9.75,0.530
m,11.44,-43.38,60.81,0.534
g,-0.00,-0.00,0.00,0.536
rv,0.17,-0.01,-0.00,0.98,0.539
g,-0.00,-0.00,0.00,0.544
rv,0.17,-0.01,-0.00,0.98,0.547
a,-0.09,-0.05,9.75,0.550
m,9.94,-43.94,61.00,0.554
g,-0.00,0.00,0.00,0.556
rv,0.17,-0.01,-0.00,0.98,0.559
g,0.00,-0.00,0.00,0.564
rv,0.17,-0.01,-0.00,0.98,0.567
a,-0.13,-0.05,9.75,0.570
m,11.62,-43.06,62.00,0.574
g,-0.00,0.00,0.00,0.577
rv,0.17,-0.01,-0.00,0.98,0.580
g,0.00,0.00,0.00,0.584
rv,0.17,-0.01,-0.00,0.98,0.587
a,-0.13,-0.05,9.79,0.591
m,10.62,-43.56,60.25,0.593
g,0.00,-0.00,-0.00,0.596
rv,0.17,-0.01,-0.00,0.98,0.599
g,0.00,-0.00,0.00,0.603
rv,0.17,-0.01,-0.00,0.98,0.606
a,-0.13,-0.05,9.75,0.610
m,11.19,-43.12,61.12,0.614
g,0.00,-0.00,-0.00,0.616
rv,0.17,-0.01,-0.00,0.98,0.619
g,-0.00,-0.00,-0.00,0.624
rv,0.17,-0.01,-0.00,0.98,0.627
a,-0.13,-0.02,9.75,0.630
m,11.38,-43.75,60.75,0.634
g,0.00,-0.00,0.00,0.636
rv,0.17,-0.01,-0.00,0.98,0.639
g,0.00,0.00,-0.00,0.643
rv,0.17,-0.01,-0.00,0.98,0.646
a,-0.13,-0.05,9.75,0.649
m,11.81,-43.06,60.94,0.653
g,-0.00,0.00,0.00,0.656
rv,0.17,-0.01,-0.00,0.98,0.659
g,-0.00,0.00,-0.00,0.663
rv,0.17,-0.01,-0.00,0.98,0.666
a,-0.09,-0.05,9.75,0.670
m,10.50,-43.94,59.56,0.673
g,0.00,0.00,-0.01,0.676
rv,0.17,-0.01,-0.00,0.98,0.679
g,0.00,-0.00,-0.01,0.683
rv,0.17,-0.01,-0.00,0.98,0.686
a,-0.09,-0.05,9.75,0.690
m,12.94,-43.50,61.81,0.694
g,0.00,0.00,-0.01,0.696
rv,0.17,-0.01,-0.00,0.98,0.699
g,0.00,-0.00,-0.00,0.704
rv,0.17,-0.01,-0.00,0.98,0.707
a,-0.09,-0.02,9.75,0.710
m,11.94,-42.31,60.88,0.714
g,0.00,-0.00,0.00,0.717
rv,0.17,-0.01,-0.00,0.98,0.719
g,0.00,-0.00,0.00,0.724
rv,0.17,-0.01,-0.00,0.98,0.727
a,-0.13,-0.05,9.75,0.730
m,12.25,-43.00,61.31,0.733
g,0.00,-0.00,-0.00,0.736
rv,0.17,-0.01,-0.00,0.98,0.739
g,0.00,-0.00,0.00,0.743
rv,0.17,-0.01,-0.00,0.98,0.746
a,-0.09,-0.05,9.79,0.750
m,11.88,-43.31,61.69,0.754
g,0.00,0.00,-0.00,0.756
rv,0.17,-0.01,-0.00,0.98,0.759
g,0.00,0.00,-0.00,0.763
rv,0.17,-0.01,-0.00,0.98,0.766
a,-0.13,-0.02,9.75,0.769
m,11.56,-43.06,61.25,0.773
g,0.00,0.00,-0.00,0.775
rv,0.17,-0.01,-0.00,0.98,0.778
g,0.00,0.00,0.00,0.782
rv,0.17,-0.01,-0.00,0.98,0.785
a,-0.13,-0.05,9.75,0.789
m,11.12,-42.81,60.44,0.793
g,0.00,0.00,0.00,0.795
rv,0.17,-0.01,-0.00,0.98,0.798
g,0.00,0.00,0.00,0.803
rv,0.17,-0.01,-0.00,0.98,0.806
a,-0.13,-0.05,9.75,0.808
m,10.88,-43.44,62.38,0.812
g,0.00,-0.00,0.00,0.816
rv,0.17,-0.01,-0.00,0.98,0.819
a,-0.13,-0.05,9.75,0.823
m,11.88,-43.31,61.69,0.826
g,0.00,-0.00,0.00,0.829
rv,0.17,-0.01,-0.00,0.98,0.833
g,0.00,0.00,0.00,0.836
rv,0.17,-0.01,-0.00,0.98,0.839
g,0.00,-0.00,0.00,0.844
rv,0.17,-0.01,-0.00,0.98,0.847
a,-0.09,-0.05,9.75,0.849
m,10.88,-42.50,61.25,0.853
g,0.00,-0.00,-0.00,0.855
rv,0.17,-0.01,-0.00,0.98,0.858
g,0.00,0.00,-0.00,0.863
rv,0.17,-0.01,-0.00,0.98,0.866
a,-0.13,-0.05,9.75,0.869
m,11.00,-43.81,60.75,0.873
g,0.00,0.00,0.00,0.876
rv,0.17,-0.01,-0.00,0.98,0.879
g,-0.00,-0.00,0.00,0.883
rv,0.17,-0.01,-0.00,0.98,0.887
a,-0.13,-0.05,9.75,0.891
m,9.94,-43.31,60.25,0.894
g,-0.00,0.00,0.00,0.897
rv,0.17,-0.01,-0.00,0.98,0.900
g,0.00,0.00,0.00,0.904
rv,0.17,-0.01,-0.00,0.98,0.907
a,-0.09,-0.05,9.79,0.911
m,11.81,-43.06,60.44,0.915
g,0.00,0.00,0.00,0.917
rv,0.17,-0.01,-0.00,0.98,0.920
g,0.00,0.00,0.00,0.924
rv,0.17,-0.01,-0.00,0.98,0.927
a,-0.09,-0.05,9.75,0.931
m,10.88,-43.88,59.56,0.934
g,-0.00,0.00,0.00,0.936
rv,0.17,-0.01,-0.00,0.98,0.939
g,0.00,0.00,0.01,0.944
rv,0.17,-0.01,-0.00,0.98,0.948
a,-0.09,0.02,9.75,0.952
m,11.62,-42.06,60.50,0.955
g,-0.00,-0.00,0.01,0.958
rv,0.17,-0.01,-0.00,0.98,0.960
g,-0.00,0.00,0.01,0.964
rv,0.17,-0.01,-0.00,0.98,0.967
a,-0.09,-0.09,9.75,0.971
m,11.56,-43.38,61.62,0.974
g,0.00,0.00,0.01,0.977
rv,0.17,-0.01,-0.00,0.98,0.980
g,0.00,0.00,0.01,0.984
rv,0.17,-0.01,-0.00,0.98,0.987
a,-0.09,-0.09,9.75,0.991
m,11.25,-42.75,61.62,0.995
g,-0.00,-0.00,0.01,0.997
rv,0.17,-0.01,-0.00,0.98,1.000
g,-0.00,0.00,0.01,1.005
rv,0.17,-0.01,-0.00,0.98,1.007
a,-0.13,-0.05,9.75,1.011
m,10.75,-43.81,61.50,1.014
g,-0.00,0.00,0.01,1.017
rv,0.17,-0.01,-0.00,0.98,1.020
g,0.00,0.00,0.01,1.025
rv,0.17,-0.01,-0.00,0.98,1.028
a,-0.09,-0.05,9.75,1.032
m,11.19,-42.81,60.88,1.035
g,0.00,0.00,0.01,1.038
rv,0.17,-0.01,-0.00,0.98,1.041
g,0.00,0.00,0.01,1.045
rv,0.17,-0.01,-0.00,0.98,1.048
a,-0.09,-0.05,9.75,1.054
g,0.00,0.00,0.01,1.056
m,11.69,-43.75,60.50,1.059
rv,0.17,-0.01,-0.00,0.98,1.062
g,-0.00,0.00,0.01,1.065
rv,0.17,-0.01,-0.00,0.98,1.068
g,-0.00,0.00,0.01,1.074
rv,0.17,-0.01,-0.00,0.98,1.077
a,-0.09,-0.02,9.75,1.079
m,11.69,-42.69,62.12,1.083
g,-0.00,0.00,0.01,1.086
rv,0.17,-0.01,-0.00,0.98,1.089
g,0.00,0.00,0.00,1.093
rv,0.17,-0.01,-0.00,0.98,1.096
a,-0.13,-0.21,9.75,1.100
m,12.00,-42.62,62.12,1.103
g,-0.00,0.00,0.00,1.106
rv,0.17,-0.01,-0.00,0.98,1.109
g,-0.00,0.00,-0.00,1.113
rv,0.17,-0.01,-0.00,0.98,1.116
a,-0.09,-0.02,9.75,1.120
m,11.62,-42.38,60.94,1.124
g,-0.00,-0.00,-0.00,1.127
rv,0.17,-0.01,-0.00,0.98,1.130
g,0.00,0.00,0.00,1.135
rv,0.17,-0.01,-0.00,0.98,1.138
a,-0.13,-0.05,9.79,1.140
m,11.38,-43.75,60.38,1.144
g,0.00,0.00,0.00,1.147
rv,0.17,-0.01,-0.00,0.98,1.150
g,0.00,0.00,0.00,1.154
rv,0.17,-0.01,-0.00,0.98,1.157
a,-0.09,-0.05,9.79,1.161
m,11.81,-43.69,61.62,1.164
g,0.00,0.00,0.00,1.167
rv,0.17,-0.01,-0.00,0.98,1.170
g,0.00,0.00,0.00,1.174
rv,0.17,-0.01,-0.00,0.98,1.177
a,-0.13,-0.09,9.75,1.181
m,10.88,-44.56,60.38,1.185
g,-0.00,0.00,-0.00,1.187
rv,0.17,-0.01,-0.00,0.98,1.190
g,0.00,0.00,-0.00,1.194
rv,0.17,-0.01,-0.00,0.98,1.198
g,0.00,-0.00,-0.00,1.203
rv,0.17,-0.01,-0.00,0.98,1.206
a,-0.13,-0.05,9.75,1.209
m,11.38,-43.75,60.75,1.211
g,0.00,0.00,-0.00,1.215
rv,0.17,-0.01,-0.00,0.98,1.218
a,-0.09,-0.05,9.79,1.223
g,-0.00,0.00,-0.00,1.226
m,11.44,-43.12,60.06,1.229
rv,0.17,-0.01,-0.00,0.98,1.232
g,0.00,-0.00,-0.00,1.236
rv,0.17,-0.01,-0.00,0.98,1.239
g,-0.00,-0.00,-0.01,1.245
rv,0.17,-0.01,-0.00,0.98,1.247
a,-0.13,-0.09,9.83,1.250
m,11.06,-43.19,60.44,1.254
g,-0.00,0.00,-0.01,1.256
rv,0.17,-0.01,-0.00,0.98,1.260
g,-0.01,-0.00,-0.01,1.265
rv,0.17,-0.01,-0.00,0.98,1.268
a,-0.13,-0.05,9.75,1.273
g,0.00,0.00,-0.01,1.276
m,12.06,-43.38,59.69,1.279
rv,0.17,-0.01,-0.00,0.98,1.282
g,-0.00,0.00,-0.01,1.286
rv,0.17,-0.01,-0.00,0.98,1.289
g,-0.00,-0.00,-0.00,1.294
rv,0.17,-0.01,-0.00,0.98,1.297
a,-0.13,-0.05,9.75,1.299
m,10.88,-43.12,62.00,1.303
g,-0.00,-0.00,-0.00,1.306
rv,0.17,-0.01,-0.00,0.98,1.309
g,-0.00,-0.00,-0.00,1.313
rv,0.17,-0.01,-0.00,0.98,1.316
a,-0.13,-0.05,9.79,1.320
m,11.81,-43.06,60.94,1.324
g,-0.00,-0.00,0.00,1.326
rv,0.17,-0.01,-0.00,0.98,1.329
g,-0.00,-0.00,0.00,1.334
rv,0.17,-0.01,-0.00,0.98,1.337
a,-0.13,-0.05,9.75,1.339
m,11.19,-43.12,61.25,1.343
g,0.00,-0.00,0.00,1.345
rv,0.17,-0.01,-0.00,0.98,1.348
g,0.00,0.00,0.00,1.353
rv,0.17,-0.01,-0.00,0.98,1.356
a,-0.13,-0.05,9.75,1.358
m,11.31,-43.44,59.62,1.361
g,0.00,0.00,-0.00,1.365
rv,0.17,-0.01,-0.00,0.98,1.368
a,-0.09,-0.05,9.75,1.372
m,10.81,-43.19,61.62,1.375
g,0.00,0.00,-0.00,1.378
rv,0.17,-0.01,-0.00,0.98,1.382
g,0.00,-0.00,0.00,1.386
rv,0.17,-0.01,-0.00,0.98,1.389
a,-0.13,-0.09,9.75,1.395
g,0.00,0.00,-0.00,1.397
m,11.56,-43.06,61.25,1.400
rv,0.17,-0.01,-0.00,0.98,1.404
g,0.00,-0.00,-0.00,1.406
rv,0.17,-0.01,-0.00,0.98,1.409
g,0.01,-0.00,0.00,1.414
rv,0.17,-0.01,-0.00,0.98,1.417
a,-0.13,-0.05,9.79,1.420
m,11.56,-42.75,60.88,1.424
g,0.00,0.00,0.00,1.427
rv,0.17,-0.01,-0.00,0.98,1.429
g,0.00,0.00,-0.00,1.434
rv,0.17,-0.01,-0.00,0.98,1.437
a,-0.09,-0.05,9.75,1.440
