4.70,3.91,5.69,1.86,0.74,1.76,0.039,
6.04,3.80,7.03,2.22,1.04,1.23,0.050,
5.43,3.57,6.84,2.22,1.04,1.23,0.055,
5.43,3.57,6.84,2.22,1.04,1.23,0.056,
5.62,3.38,6.07,2.35,0.86,1.01,0.065,
5.62,3.38,6.07,2.35,0.86,1.01,0.066,
5.62,3.38,6.07,2.54,0.89,0.79,0.073,
6.93,3.11,6.11,2.54,0.89,0.79,0.077,
6.65,2.88,5.99,2.52,1.03,0.86,0.086,
6.65,2.88,5.99,2.50,1.04,0.94,0.089,
6.77,2.61,5.96,2.50,1.04,0.94,0.095,
6.77,2.61,5.96,2.50,1.04,0.94,0.096,
6.73,2.73,6.22,2.35,1.08,0.88,0.104,
6.73,2.73,6.22,2.35,1.08,0.88,0.106,
6.81,2.34,6.76,2.01,1.21,0.75,0.111,
6.81,2.34,6.76,2.01,1.21,0.75,0.112,
6.81,2.34,6.76,2.01,1.21,0.75,0.114,
6.81,2.34,6.76,2.01,1.21,0.75,0.115,
6.81,2.34,6.76,2.01,1.21,0.75,0.116,
6.81,2.34,6.76,1.67,1.39,0.60,0.125,
6.85,2.11,7.22,1.48,1.54,0.56,0.134,
6.73,2.30,6.96,1.48,1.54,0.56,0.135,
6.73,2.30,6.96,1.48,1.54,0.56,0.136,
6.54,2.34,6.80,1.45,1.65,0.66,0.145,
6.54,2.34,6.80,1.45,1.65,0.66,0.146,
6.39,2.77,6.68,1.53,1.73,0.69,0.156,
6.62,2.92,6.80,1.68,1.83,0.72,0.164,
6.62,2.92,6.80,1.68,1.83,0.72,0.167,
6.65,2.92,7.18,1.76,1.93,0.72,0.175,
6.65,2.92,7.18,1.76,1.93,0.72,0.176,
6.43,3.07,7.61,1.77,2.05,0.68,0.184,
5.89,2.69,7.72,1.71,2.11,0.79,0.192,
5.89,2.69,7.72,1.71,2.11,0.79,0.192,
5.89,2.69,7.72,1.71,2.11,0.79,0.194,
5.89,2.69,7.72,1.71,2.11,0.79,0.195,
5.89,2.69,7.72,1.53,2.02,0.89,0.205,
6.00,2.73,7.68,1.34,1.98,0.95,0.213,
5.50,2.42,7.87,1.34,1.98,0.95,0.215,
5.50,2.42,7.87,1.34,1.98,0.95,0.216,
5.24,2.34,7.37,1.22,1.97,0.90,0.227,
5.24,2.34,7.37,1.14,1.94,0.86,0.231,
5.27,2.34,7.07,1.14,1.94,0.86,0.236,
5.16,2.54,6.99,1.19,1.85,0.81,0.244,
5.16,2.54,6.99,1.19,1.85,0.81,0.246,
5.01,2.69,6.76,1.18,1.78,0.79,0.254,
5.01,2.69,6.64,1.10,1.80,0.80,0.262,
4.59,1.92,6.57,1.10,1.80,0.80,0.266,
4.59,1.92,6.57,1.13,1.94,0.77,0.270,
4.59,1.92,6.57,1.13,1.94,0.77,0.271,
4.59,1.92,6.57,1.13,1.94,0.77,0.273,
4.59,1.92,6.57,1.13,1.94,0.77,0.274,
4.59,1.92,6.57,1.13,1.94,0.77,0.275,
4.59,1.92,6.57,1.13,1.94,0.77,0.276,
5.46,3.34,6.99,2.22,1.32,0.64,0.286,
6.39,4.41,7.75,2.38,1.21,0.60,0.293,
6.50,4.53,7.68,2.38,1.21,0.60,0.298,
5.89,4.30,8.07,1.85,1.43,0.67,0.306,
5.89,4.30,8.07,1.64,1.51,0.96,0.310,
5.24,3.99,8.10,1.64,1.51,0.96,0.315,
5.24,3.99,8.10,1.64,1.51,0.96,0.316,
4.70,3.53,8.33,1.48,1.55,1.09,0.323,
4.70,3.53,8.33,1.48,1.55,1.09,0.325,
4.70,3.53,8.33,1.35,1.45,1.05,0.332,
4.55,3.45,8.02,1.35,1.45,1.05,0.336,
4.70,3.41,7.83,1.28,1.29,0.99,0.345,
4.70,3.41,7.83,1.23,1.22,0.93,0.349,
4.70,3.41,7.83,1.23,1.22,0.93,0.350,
4.70,3.41,7.83,1.23,1.22,0.93,0.351,
4.70,3.41,7.83,1.23,1.22,0.93,0.355,
4.70,3.41,7.83,1.23,1.22,0.93,0.357,
4.70,3.41,7.83,1.22,1.20,0.90,0.364,
4.39,3.41,7.87,1.25,1.14,0.86,0.371,
4.13,3.49,7.91,1.25,1.14,0.86,0.376,
4.20,3.64,7.91,1.27,1.05,0.78,0.385,
4.20,3.64,7.91,1.27,1.05,0.78,0.386,
4.63,3.99,7.87,1.27,0.92,0.66,0.394,
4.63,3.99,7.87,1.27,0.92,0.66,0.395,
4.63,3.99,7.87,1.23,0.80,0.57,0.402,
4.70,3.95,7.79,1.23,0.80,0.57,0.403,
5.08,4.22,7.72,1.23,0.77,0.58,0.410,
5.08,4.22,7.72,1.23,0.77,0.58,0.411,
5.05,4.30,7.75,1.23,0.77,0.58,0.416,
4.93,4.49,7.99,1.22,0.74,0.62,0.424,
4.93,4.49,7.99,1.22,0.74,0.62,0.427,
5.12,4.64,7.95,1.17,0.62,0.63,0.435,
5.12,4.64,7.95,1.08,0.50,0.61,0.442,
5.39,4.41,7.95,1.08,0.50,0.61,0.446,
5.39,4.41,7.95,1.08,0.43,0.57,0.451,
5.27,4.37,7.99,1.08,0.43,0.57,0.456,
5.20,4.11,8.17,1.02,0.38,0.51,0.464,
5.20,4.11,8.17,1.02,0.38,0.51,0.465,
5.20,4.11,8.17,1.01,0.29,0.44,0.473,
5.31,4.22,8.10,1.01,0.29,0.44,0.474,
5.27,4.14,8.14,0.94,0.17,0.33,0.482,
5.39,4.18,8.21,0.94,0.17,0.33,0.486,
5.39,4.18,8.21,0.87,0.02,0.21,0.489,
5.39,4.18,8.21,0.87,0.02,0.21,0.491,
5.39,4.18,8.21,0.87,0.02,0.21,0.493,
