-0.66,6.44,5.69,0.33,-0.52,-0.33,0.048,
-0.97,6.98,6.84,0.62,-0.21,-0.36,0.063,
-0.74,6.90,6.88,0.31,-0.16,-0.35,0.070,
-0.43,7.67,7.60,0.01,-0.04,-0.38,0.077,
-0.43,7.67,7.60,0.01,-0.04,-0.38,0.079,
-0.74,7.48,7.99,0.01,-0.04,-0.38,0.083,
-0.82,7.25,7.52,-0.25,-0.02,-0.31,0.091,
-0.82,7.25,7.52,-0.25,-0.02,-0.31,0.092,
-0.82,7.25,7.52,-0.36,-0.09,-0.21,0.100,
-0.55,7.25,7.34,-0.36,-0.09,-0.21,0.102,
-1.01,7.17,7.30,-0.53,-0.08,-0.07,0.109,
-0.86,6.82,6.91,-0.53,-0.08,-0.07,0.113,
-0.55,7.10,6.68,-0.67,-0.14,0.03,0.122,
-0.55,7.10,6.68,-0.67,-0.14,0.03,0.123,
-0.51,7.06,6.38,-0.69,-0.15,0.20,0.131,
-0.51,7.06,6.38,-0.69,-0.15,0.20,0.132,
-0.51,7.06,6.38,-0.73,-0.09,0.36,0.140,
-0.43,7.05,6.57,-0.90,0.06,0.49,0.146,
-0.43,7.05,6.57,-0.90,0.06,0.49,0.149,
-0.51,6.55,6.72,-0.90,0.06,0.49,0.153,
-0.93,6.36,6.98,-1.00,0.33,0.49,0.162,
-0.93,6.36,6.98,-1.00,0.33,0.49,0.163,
-1.05,6.10,6.88,-0.94,0.45,0.44,0.171,
-1.05,6.10,6.88,-0.94,0.45,0.44,0.172,
-1.05,6.10,6.88,-0.81,0.40,0.37,0.180,
-0.86,6.02,6.54,-0.81,0.40,0.37,0.185,
-1.01,6.17,7.14,-0.14,0.27,0.32,0.201,
-1.12,6.06,7.68,-0.14,0.27,0.32,0.202,
-1.12,6.06,7.68,-0.14,0.27,0.32,0.204,
-0.86,6.25,7.37,-0.10,0.25,0.27,0.211,
-1.35,5.91,7.68,-0.16,0.21,0.22,0.219,
-1.12,6.10,7.48,-0.16,0.21,0.22,0.223,
-1.12,6.10,7.48,-0.22,0.11,0.15,0.227,
-1.05,6.21,7.22,-0.22,0.11,0.15,0.233,
-1.05,6.14,7.26,-0.25,0.04,0.12,0.241,
-1.05,6.14,7.26,-0.25,0.04,0.12,0.243,
-1.05,6.14,7.26,-0.19,-0.02,0.10,0.249,
-0.89,6.25,7.18,-0.17,-0.06,0.09,0.257,
-0.89,6.25,7.18,-0.17,-0.06,0.09,0.259,
-0.93,6.17,7.22,-0.17,-0.06,0.09,0.263,
-0.82,6.29,7.18,-0.17,-0.11,0.08,0.271,
-0.82,6.29,7.18,-0.17,-0.11,0.08,0.273,
-0.74,6.29,7.22,-0.16,-0.12,0.06,0.281,
-0.74,6.29,7.22,-0.16,-0.12,0.06,0.282,
-0.74,6.33,7.49,-0.23,-0.08,0.02,0.289,
-0.74,6.33,7.49,-0.23,-0.08,0.02,0.290,
-0.86,6.10,7.41,-0.23,-0.08,0.02,0.293,
-0.89,6.06,7.30,-0.24,-0.06,0.01,0.302,
-0.89,6.06,7.30,-0.21,-0.04,0.00,0.306,
-0.86,6.10,7.37,-0.21,-0.04,0.00,0.311,
-0.86,6.10,7.37,-0.21,-0.04,0.00,0.313,
-0.93,6.06,7.61,-0.27,0.02,-0.01,0.322,
-0.93,6.02,7.48,-0.28,0.05,-0.01,0.329,
-0.93,6.02,7.48,-0.28,0.05,-0.01,0.329,
-0.97,5.98,7.45,-0.21,0.07,-0.02,0.336,
-0.86,6.06,7.48,-0.21,0.07,-0.02,0.341,
-0.86,6.06,7.48,-0.21,0.07,-0.02,0.343,
-0.97,5.91,7.45,-0.17,0.09,-0.02,0.351,
-0.97,5.91,7.45,-0.17,0.09,-0.02,0.352,
-0.97,5.91,7.45,-0.04,0.02,-0.01,0.368,
-0.78,6.17,7.45,-0.04,0.02,-0.01,0.369,
-0.78,6.10,7.45,-0.04,0.02,-0.01,0.373,
-0.78,6.02,7.53,-0.07,-0.01,-0.01,0.381,
-0.78,6.02,7.53,-0.07,-0.01,-0.01,0.383,
-0.89,6.02,7.61,-0.04,-0.01,-0.01,0.392,
-0.89,6.02,7.61,-0.04,-0.01,-0.01,0.393,
-0.86,6.06,7.45,-0.07,-0.02,-0.01,0.404,
-0.78,6.17,7.41,-0.11,-0.02,-0.00,0.412,
-0.86,6.10,7.49,-0.13,0.02,0.01,0.421,
-0.86,6.10,7.49,-0.13,0.02,0.01,0.422,
-0.86,6.10,7.49,-0.13,0.02,0.01,0.423,
-0.70,6.33,7.61,-0.19,0.06,0.01,0.431,
-0.89,6.02,7.52,-0.29,0.11,0.02,0.439,
-0.89,5.98,7.49,-0.29,0.11,0.02,0.444,
-0.89,5.98,7.49,-0.37,0.13,0.03,0.447,
-0.89,5.95,7.45,-0.37,0.13,0.03,0.453,
-0.86,6.02,7.37,-0.44,0.14,0.03,0.460,
-0.86,6.02,7.37,-0.44,0.14,0.03,0.462,
-0.86,6.02,7.37,-0.44,0.14,0.03,0.463,
-0.93,5.91,7.48,-0.49,0.13,0.03,0.479,
-0.93,5.71,7.22,-0.49,0.13,0.03,0.483,
-0.93,5.91,7.61,-0.40,0.12,0.00,0.492,
-0.93,5.91,7.61,-0.40,0.12,0.00,0.493,
-1.05,5.75,7.52,-0.37,0.09,-0.01,0.500,
-1.05,5.75,7.52,-0.37,0.09,-0.01,0.501,
-0.97,5.87,7.49,-0.39,-0.01,0.01,0.509,
-0.97,5.87,7.49,-0.39,-0.01,0.01,0.510,
-0.93,5.83,7.52,-0.46,-0.06,0.03,0.517,
-0.93,5.83,7.52,-0.46,-0.06,0.03,0.518,
-1.05,5.75,7.61,-0.46,-0.06,0.03,0.527,
-0.93,5.83,7.52,-0.51,-0.10,0.03,0.535,
-0.74,6.10,7.68,-0.69,-0.09,0.01,0.543,
-0.82,5.79,6.84,-1.01,-0.03,0.00,0.553,
-1.08,5.37,7.22,-1.16,0.04,-0.00,0.562,
-1.08,5.37,7.22,-1.16,0.04,-0.00,0.563,
